"AvgCPU","AvgRAM","MinRAM","MaxRAM","TotalDisk","ComputerName","VMId","VMName","HardDiskMetrics","MeteringDuration","AverageProcessorUsage","AverageMemoryUsage","MaximumMemoryUsage","MinimumMemoryUsage","TotalDiskAllocation","AggregatedAverageNormalizedIOPS","AggregatedAverageLatency","AggregatedDiskDataRead","AggregatedDiskDataWritten","NetworkMeteredTrafficReport"
"52","2048","2048","2048","50564","tigger","8160b56b-86ce-4a38-b000-cd4c98138d49","BSIT-NS1","Microsoft.HyperV.PowerShell.VirtualHardDiskMetrics[]",,"52","2048","2048","2048","50564","0","0","878060","959490","Microsoft.HyperV.PowerShell.VMPortAclMeteringReport[]"
"491","6144","6144","6144","687609","tigger","0d1097d9-e268-4292-a17d-9e91c3a0d457","CertaProRDP","Microsoft.HyperV.PowerShell.VirtualHardDiskMetrics[]",,"491","6144","6144","6144","687609","10","568","22619925","2017478","Microsoft.HyperV.PowerShell.VMPortAclMeteringReport[]"
"0","0","0","0","0","tigger","5434b09b-4763-4c70-ab1b-241f94d80bd0","GhostCast","Microsoft.HyperV.PowerShell.VirtualHardDiskMetrics[]","58.01:44:47.6060000","0","0","0","0","0","0","0","0","0","Microsoft.HyperV.PowerShell.VMPortAclMeteringReport[]"
"280","2048","2048","2048","420301","tigger","fc3a4530-d4ba-4f51-973d-ee250791a8a3","JJBest-DC","Microsoft.HyperV.PowerShell.VirtualHardDiskMetrics[]",,"280","2048","2048","2048","420301","6","622","2150098","719137","Microsoft.HyperV.PowerShell.VMPortAclMeteringReport[]"
"512","14336","14336","14336","1218130","tigger","091a0feb-720c-4e9b-84c5-65fbd1890791","JJBEST-SQL2012","Microsoft.HyperV.PowerShell.VirtualHardDiskMetrics[]",,"512","14336","14336","14336","1218130","2","948","6663374","2448520","Microsoft.HyperV.PowerShell.VMPortAclMeteringReport[]"
"187","2048","2048","2048","409604","tigger","8bc0e49b-1040-4bb0-9192-398c71735318","lab_JJBest-DC","Microsoft.HyperV.PowerShell.VirtualHardDiskMetrics[]",,"187","2048","2048","2048","409604","3","578","345282","194750","Microsoft.HyperV.PowerShell.VMPortAclMeteringReport[]"
"265","8192","8192","8192","1177600","tigger","fdde7bfc-1b03-4f12-8bda-7f356cddda8d","lab_JJBEST-SQL2012","Microsoft.HyperV.PowerShell.VirtualHardDiskMetrics[]",,"265","8192","8192","8192","1177600","3","836","1415727","359347","Microsoft.HyperV.PowerShell.VMPortAclMeteringReport[]"
"670","6144","6144","6144","917383","tigger","ac0b70c3-5726-4f3d-9c74-2d6a78bff66d","Runt","Microsoft.HyperV.PowerShell.VirtualHardDiskMetrics[]",,"670","6144","6144","6144","917383","1","465","7647887","2224469","Microsoft.HyperV.PowerShell.VMPortAclMeteringReport[]"
"0","0","0","0","0","tigger","809e1f32-79cb-42c1-a934-de4a4cd398ce","SLX72","Microsoft.HyperV.PowerShell.VirtualHardDiskMetrics[]","58.01:44:55.4500000","0","0","0","0","0","0","0","0","0","Microsoft.HyperV.PowerShell.VMPortAclMeteringReport[]"
"1094","3072","3072","3072","131711","tigger","52217c02-532c-4d16-8b20-e175d49263fa","Tarzan","Microsoft.HyperV.PowerShell.VirtualHardDiskMetrics[]",,"1094","3072","3072","3072","131711","10","760","4697090","1739203","Microsoft.HyperV.PowerShell.VMPortAclMeteringReport[]"
"0","0","0","0","0","tigger","7b6ad263-4400-43b4-9f45-921dea73a975","Web Development Server (2012r2)","Microsoft.HyperV.PowerShell.VirtualHardDiskMetrics[]","58.01:44:57.9300000","0","0","0","0","0","0","0","0","0","Microsoft.HyperV.PowerShell.VMPortAclMeteringReport[]"
"199","3082","3072","5670","304296","tigger","1ca7b061-da94-4b97-a615-daa3d087d3e1","Zeus","Microsoft.HyperV.PowerShell.VirtualHardDiskMetrics[]",,"199","3082","5670","3072","304296","7","492","1865417","1385459","Microsoft.HyperV.PowerShell.VMPortAclMeteringReport[]"
"99","4096","4096","4096","43969","goofy","02e5f629-32af-47a1-bbae-6cdc3eb7d08b","3cx15","Microsoft.HyperV.PowerShell.VirtualHardDiskMetrics[]",,"99","4096","4096","4096","43969","0","0","66551","46523","Microsoft.HyperV.PowerShell.VMPortAclMeteringReport[]"
